x,y,z
1.0,1.0,1.0
1.0,1.26,0.9833333333333333
1.026,1.5175666666666667,0.9697111111111111
1.0751566666666668,1.779721764,0.9594223821481481
1.1456131764000002,2.0526531193235087,0.9529725824846278
1.236317170692351,2.3419808980498504,0.9510754448857934
1.346883543428101,2.6529715878318485,0.9546677449990975
1.4774923478684758,2.990711001361589,0.9649423761941186
1.6288142132177872,3.360244798981538,0.9833981056875869
1.8019572717941623,3.766692602574749,1.0119063010873073
1.998430804872221,4.215339593475181,1.0527963243165408
2.220121683732517,4.711707416846947,1.1089624006340832
2.4692802570439603,5.261604099402664,1.18399570798596
2.748512641279831,5.871150358119401,1.2823462403367
3.0607764129637878,6.546776945575929,1.4095196503758458
3.4093764662250017,7.295184326755237,1.5723146642586958
3.7979572522780254,8.123251767892445,1.779106570815925
4.230486703839468,9.037877573819308,2.0401813585669744
4.711225790837451,10.04572547404778,2.3681227314082367
5.2446757591584845,11.152843831860999,2.778249601314084
5.835492566428736,12.364114422737728,3.289093442185458
6.488354752059635,13.68247639378877,3.9228912617707823
7.207766916232549,15.107859858826343,4.706048435419393
7.997776210491928,16.635754994593153,5.669493135130138
8.861574088902051,18.25534141036805,6.848797106919962
9.800950821048652,19.947117511328653,8.283873121663877
10.815567490076651,21.680014235376646,10.017977015921613
11.902012164606651,23.408071924946974,12.095647533649089
13.052618140640684,25.06692917094451,14.559128500758844
14.254049243671066,26.570645510805218,17.442775618340196
15.485708870384482,27.809771017823802,20.76502783065591
16.718115085128414,28.65206003464353,24.517833932512506
17.911509580079926,28.947691964914945,28.654109398497294
19.01512781856343,28.541054177689748,33.07496843404513
19.96772045447606,27.29063190142742,37.62008720845707
20.700011599171194,25.09681346115163,42.06620197123531
21.139691785369237,21.934139886931558,46.139479882816445
21.21913659552547,17.88016834936579,49.54590332047707
20.8852397709095,13.129512009560244,52.018696577492854
20.109666994774575,7.981854519408025,53.3736613993734
18.89688574723792,2.799477162418296,53.555488125917094
17.287144888755957,-2.0577090025093936,52.65635577679484
15.352659499629421,-6.299511859905973,50.89646715276087
13.187442363675881,-9.751733380714786,48.572085422697114
10.893524789236814,-12.367147955031989,45.990825592384084
8.567457514809934,-14.20331152117639,43.41718524838417
6.290380611211302,-15.382139202099484,41.0425309614877
4.123128629880224,-16.048742648891142,38.98046836722296
2.105941502003087,-16.340994057346144,37.27927890787145
0.26124794606816404,-16.373000302380166,35.94103302796803
-1.402176878776669,-16.230016085038525,34.939831353555846
-2.8849607994028545,-15.970407213522485,34.235676050427166
-4.193505440814818,-15.630806331754684,33.78346467669757
-5.337235529908805,-15.231968362552221,33.53805099928433
-6.326708813173147,-14.784069853328425,33.45666899998735
-7.172444917188675,-14.291001596267254,33.499836210343894
-7.884300585096533,-13.753618857582069,33.631521462341546
-8.471232412345087,-13.172076589401017,33.81905754207273
-8.94131683005068,-12.54740993490993,34.03305322903771
-9.301926140536604,-11.882501431826967,34.24740881917559
-9.559983669665641,-11.182547063451613,34.43944609083432
-9.722240009044238,-10.455111598116414,34.59011053486406
-9.795527167951455,-9.709854119074457,34.684178630049985
-9.786959863063755,-8.95800504422276,34.71039859811771
-9.704064381179656,-8.21168097633116,34.66150432704388
-9.554826040694806,-7.483127497916441,34.53406435370963
-9.34765618641697,-6.783977740553272,34.328155785773355
